query_id,query,source,rank,doc_id,chunk_id,score_vetorial,qrel_score,julgado
1,técnica e preço,search log,1,20584,20584_0,0.8592920303344727,,False
1,técnica e preço,search log,2,33887,33887_0,0.8562681674957275,,False
1,técnica e preço,search log,3,20506,20506_0,0.8531661033630371,3.0,True
1,técnica e preço,search log,4,18324,18324_0,0.8525303602218628,,False
1,técnica e preço,search log,5,20970,20970_1,0.8487247228622437,,False
1,técnica e preço,search log,6,31526,31526_0,0.848250150680542,,False
1,técnica e preço,search log,7,21207,21207_0,0.8473246097564697,,False
1,técnica e preço,search log,8,21064,21064_0,0.8472214341163635,3.0,True
1,técnica e preço,search log,9,21285,21285_0,0.8470194339752197,,False
1,técnica e preço,search log,10,18894,18894_0,0.8468400239944458,,False
2,restos a pagar,search log,1,17289,17289_0,0.8557023406028748,2.0,True
2,restos a pagar,search log,2,18432,18432_0,0.8513715863227844,,False
2,restos a pagar,search log,3,32869,32869_0,0.8476557731628418,,False
2,restos a pagar,search log,4,19084,19084_0,0.8410589098930359,,False
2,restos a pagar,search log,5,43657,43657_3,0.8380402326583862,,False
2,restos a pagar,search log,6,52046,52046_3,0.838028609752655,,False
2,restos a pagar,search log,7,33443,33443_0,0.8362641930580139,,False
2,restos a pagar,search log,8,19664,19664_0,0.8356010913848877,,False
2,restos a pagar,search log,9,91275,91275_6,0.8350058794021606,,False
2,restos a pagar,search log,10,18452,18452_0,0.8343875408172607,2.0,True
3,aditivo a contrato,search log,1,17225,17225_0,0.8855953216552734,2.0,True
3,aditivo a contrato,search log,2,18365,18365_0,0.8722047805786133,,False
3,aditivo a contrato,search log,3,18057,18057_0,0.8715076446533203,,False
3,aditivo a contrato,search log,4,31123,31123_0,0.8680204153060913,,False
3,aditivo a contrato,search log,5,20512,20512_1,0.8676760792732239,,False
3,aditivo a contrato,search log,6,118408,118408_5,0.8657265305519104,,False
3,aditivo a contrato,search log,7,17210,17210_0,0.8641642332077026,,False
3,aditivo a contrato,search log,8,17226,17226_0,0.8634607791900635,,False
3,aditivo a contrato,search log,9,81554,81554_0,0.862267017364502,,False
3,aditivo a contrato,search log,10,33922,33922_1,0.8621618747711182,,False
4,adesão a ata de registro de preços,search log,1,20840,20840_0,0.8963577747344971,,False
4,adesão a ata de registro de preços,search log,2,16981,16981_0,0.8887242674827576,3.0,True
4,adesão a ata de registro de preços,search log,3,62306,62306_0,0.8834964036941528,3.0,True
4,adesão a ata de registro de preços,search log,4,4230,4230_0,0.8804340362548828,,False
4,adesão a ata de registro de preços,search log,5,14510,14510_0,0.8795802593231201,,False
4,adesão a ata de registro de preços,search log,6,20860,20860_0,0.878266453742981,,False
4,adesão a ata de registro de preços,search log,7,52275,52275_0,0.8741773366928101,,False
4,adesão a ata de registro de preços,search log,8,45015,45015_0,0.8740243315696716,3.0,True
4,adesão a ata de registro de preços,search log,9,21200,21200_2,0.8721575736999512,,False
4,adesão a ata de registro de preços,search log,10,42169,42169_1,0.8715864419937134,,False
5,sobrepreço e superfaturamento,search log,1,16262,16262_0,0.8687235116958618,,False
5,sobrepreço e superfaturamento,search log,2,31126,31126_0,0.8652911186218262,,False
5,sobrepreço e superfaturamento,search log,3,53003,53003_0,0.8617310523986816,3.0,True
5,sobrepreço e superfaturamento,search log,4,20990,20990_0,0.8580629825592041,,False
5,sobrepreço e superfaturamento,search log,5,17023,17023_2,0.8577724695205688,,False
5,sobrepreço e superfaturamento,search log,6,23515,23515_0,0.8575756549835205,,False
5,sobrepreço e superfaturamento,search log,7,21100,21100_0,0.857322096824646,,False
5,sobrepreço e superfaturamento,search log,8,21792,21792_0,0.8563333749771118,,False
5,sobrepreço e superfaturamento,search log,9,21172,21172_0,0.856240451335907,3.0,True
5,sobrepreço e superfaturamento,search log,10,21849,21849_0,0.8560048341751099,,False
6,restrição a competitividade,search log,1,17917,17917_0,0.8705836534500122,,False
6,restrição a competitividade,search log,2,17391,17391_0,0.8633588552474976,,False
6,restrição a competitividade,search log,3,17372,17372_0,0.8580521941184998,3.0,True
6,restrição a competitividade,search log,4,28863,28863_0,0.8568307757377625,,False
6,restrição a competitividade,search log,5,38349,38349_4,0.8554598093032837,,False
6,restrição a competitividade,search log,6,17943,17943_0,0.8550824522972107,,False
6,restrição a competitividade,search log,7,20853,20853_0,0.8550527095794678,,False
6,restrição a competitividade,search log,8,21888,21888_1,0.8546069264411926,,False
6,restrição a competitividade,search log,9,23050,23050_0,0.8545905947685242,,False
6,restrição a competitividade,search log,10,16409,16409_0,0.8521825075149536,,False
7,acréscimos e supressões,search log,1,49135,49135_0,0.8499391674995422,,False
7,acréscimos e supressões,search log,2,18019,18019_0,0.8465684056282043,,False
7,acréscimos e supressões,search log,3,11604,11604_0,0.8450608253479004,,False
7,acréscimos e supressões,search log,4,32639,32639_0,0.8450503349304199,3.0,True
7,acréscimos e supressões,search log,5,17022,17022_0,0.844893753528595,3.0,True
7,acréscimos e supressões,search log,6,18936,18936_0,0.8428127765655518,,False
