query_id,source,pergunta,rank_final,doc_id,rank_rag,rank_graphrag,rrf_rag,rrf_graphrag,score_final_rrf,origem,qrel_score,julgado,relevante_binario
1,search log,técnica e preço,1,20506,3.0,1.0,0.015873015873015872,0.01639344262295082,0.032266458495966696,ambos,3.0,True,True
1,search log,técnica e preço,2,20584,1.0,5.0,0.01639344262295082,0.015384615384615385,0.03177805800756621,ambos,,False,False
1,search log,técnica e preço,3,33887,2.0,4.0,0.016129032258064516,0.015625,0.031754032258064516,ambos,,False,False
1,search log,técnica e preço,4,20970,5.0,2.0,0.015384615384615385,0.016129032258064516,0.0315136476426799,ambos,,False,False
1,search log,técnica e preço,5,21207,7.0,3.0,0.014925373134328358,0.015873015873015872,0.030798389007344232,ambos,,False,False
1,search log,técnica e preço,6,31526,6.0,6.0,0.015151515151515152,0.015151515151515152,0.030303030303030304,ambos,,False,False
1,search log,técnica e preço,7,21064,8.0,7.0,0.014705882352941176,0.014925373134328358,0.029631255487269532,ambos,3.0,True,True
1,search log,técnica e preço,8,21285,9.0,8.0,0.014492753623188406,0.014705882352941176,0.02919863597612958,ambos,,False,False
1,search log,técnica e preço,9,18324,4.0,,0.015625,0.0,0.015625,rag,,False,False
1,search log,técnica e preço,10,31594,,9.0,0.0,0.014492753623188406,0.014492753623188406,graphrag,,False,False
2,search log,restos a pagar,1,17289,1.0,2.0,0.01639344262295082,0.016129032258064516,0.03252247488101534,ambos,2.0,True,True
2,search log,restos a pagar,2,32869,3.0,1.0,0.015873015873015872,0.01639344262295082,0.032266458495966696,ambos,,False,False
2,search log,restos a pagar,3,18432,2.0,4.0,0.016129032258064516,0.015625,0.031754032258064516,ambos,,False,False
2,search log,restos a pagar,4,19084,4.0,3.0,0.015625,0.015873015873015872,0.03149801587301587,ambos,,False,False
2,search log,restos a pagar,5,52046,6.0,5.0,0.015151515151515152,0.015384615384615385,0.030536130536130537,ambos,,False,False
2,search log,restos a pagar,6,43657,5.0,8.0,0.015384615384615385,0.014705882352941176,0.030090497737556562,ambos,,False,False
2,search log,restos a pagar,7,18452,10.0,6.0,0.014285714285714285,0.015151515151515152,0.029437229437229435,ambos,2.0,True,True
2,search log,restos a pagar,8,19664,8.0,9.0,0.014705882352941176,0.014492753623188406,0.02919863597612958,ambos,,False,False
