query_id,source,pergunta,p_at_10,r_at_10,mrr_at_10,ndcg_at_10,judged_at_10,julgados_top10,relevantes_top10,sementes_top10,novos_grafo_top10,latencia_segundos
1,search log,técnica e preço,0.2,0.13333333333333333,1.0,0.29345568839744024,0.2,2,2,8,2,0.7787984560000041
2,search log,restos a pagar,0.3,0.42857142857142855,0.5,0.29319733195939196,0.3,3,3,9,1,0.21240729600049235
3,search log,aditivo a contrato,0.2,0.13333333333333333,1.0,0.17824615669388438,0.2,2,2,7,3,0.5124546799997916
4,search log,adesão a ata de registro de preços,0.4,0.3076923076923077,1.0,0.44128517931289285,0.4,4,4,7,3,0.46416050600055314
5,search log,sobrepreço e superfaturamento,0.2,0.15384615384615385,1.0,0.31488013066763093,0.2,2,2,7,3,0.2295615609991728
6,search log,restrição a competitividade,0.1,0.07142857142857142,0.5,0.13886244387355454,0.1,1,1,8,2,0.25203141599922674
7,search log,acréscimos e supressões,0.2,0.18181818181818182,0.2,0.15457433957839825,0.2,2,2,8,2,0.18405479400007607
8,search log,obras e serviços de engenharia,0.1,0.07692307692307693,0.14285714285714285,0.07924503639987625,0.1,1,1,8,2,0.21119824800007336
9,search log,fiscalizacao de contratos,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0.20267533799960802
10,search log,diarias e passagens,0.3,0.3,1.0,0.44124995946245626,0.3,3,3,8,2,0.24651716600055806
11,search log,bens e serviços comuns,0.0,0.0,0.0,0.0,0.0,0,0,8,2,0.24698526799966203
12,search log,parcelas de maior relevância e valor significativo,0.1,0.07142857142857142,0.14285714285714285,0.07924503639987625,0.1,1,1,10,0,0.2755320579999534
13,search log,despesa sem cobertura contratual,0.1,0.07142857142857142,0.3333333333333333,0.11004588314904008,0.1,1,1,10,0,0.23442130500006897
14,search log,decreto-lei 4.657/1942,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0.23422391699932632
15,search log,contas e materialidade,0.2,0.16666666666666666,0.2,0.14973190384690807,0.2,2,2,7,3,0.22433448399988265
16,search log,inexequibilidade e comprovação,0.2,0.16666666666666666,0.5,0.21359069920466497,0.2,2,2,8,2,0.22269147599945427
17,search log,impedimento de licitar e contratar,0.0,0.0,0.0,0.0,0.0,0,0,8,2,0.22447948800072481
18,search log,aditivo e obra,0.1,0.07692307692307693,1.0,0.2931678907415521,0.1,1,1,7,3,0.21770705600010842
19,search log,fraude a licitacao,0.2,0.16666666666666666,0.3333333333333333,0.1884441521277154,0.2,2,2,7,3,0.24705179700049484
20,search log,auditoria interna,0.3,0.23076923076923078,1.0,0.6534834840914021,0.3,3,3,10,0,0.23899940899991634
21,search log,fracionamento de despesas,0.0,0.0,0.0,0.0,0.0,0,0,6,4,0.2226198359994669
22,search log,novo e improrrogável prazo,0.0,0.0,0.0,0.0,0.0,0,0,7,3,0.24729265600035433
23,search log,inidoneidade de licitante,0.0,0.0,0.0,0.0,0.0,0,0,8,2,0.2372604769998361
24,search log,licitações e contratos,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0.2071770229995309
25,search log,exigência de atestado de capacidade,0.1,0.07142857142857142,0.14285714285714285,0.07336392209936006,0.1,1,1,6,4,0.21576841899968713
26,search log,contrato com a administração pública,0.0,0.0,0.0,0.0,0.0,0,0,8,2,0.20994223400066403
27,search log,inexigibilidade e singularidade,0.6,0.5454545454545454,1.0,0.5925846332364243,0.6,6,6,7,3,0.22817297899928235
28,search log,mera participação e epp,0.4,0.36363636363636365,0.5,0.4126171234195185,0.4,4,4,5,5,0.2142463840000346
29,search log,decisão judicial,0.0,0.0,0.0,0.0,0.0,0,0,10,0,0.2350865119997252
30,search log,fiscal de contrato,0.0,0.0,0.0,0.0,0.0,0,0,7,3,0.1768628390000231
31,search log,medida cautelar,0.2,0.15384615384615385,0.25,0.18976441880067052,0.2,2,2,9,1,0.20165956300024845
32,search log,é possível a aplicação concomitante,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0.2043218650005656
33,search log,reajuste de contrato,0.3,0.25,1.0,0.4608514610679894,0.3,3,3,10,0,0.1900189429998136
34,search log,publicidade e concurso público,0.0,0.0,0.0,0.0,0.0,0,0,9,1,0.20926622800016048
35,search log,falecimento e multa,0.3,0.2727272727272727,1.0,0.3628869103342175,0.3,3,3,8,2,0.22255270599998767
36,search log,independência das instâncias,0.4,0.4,1.0,0.520678483059474,0.4,4,4,8,2,0.210767680000572
37,search log,planejamento estratégico,0.4,0.26666666666666666,1.0,0.5978874945059731,0.4,4,4,8,2,0.1894938240002375
38,search log,sistema s e licitação,0.1,0.06666666666666667,0.2,0.11341282152439881,0.1,1,1,8,2,0.22481209200032026
39,search log,citação e validade,0.2,0.15384615384615385,0.5,0.22923919026248157,0.2,2,2,6,4,0.21191754400024365
40,search log,multa a particulares,0.1,0.08333333333333333,0.14285714285714285,0.115772916948491,0.1,1,1,8,2,0.2084253359998911
41,search log,licitação e preço de mercado,0.1,0.06666666666666667,0.14285714285714285,0.07613166882955305,0.1,1,1,6,4,0.23307754100005695
42,search log,edital modificação,0.2,0.13333333333333333,0.2,0.213565886210738,0.2,2,2,7,3,0.20763239700045233
43,search log,padronização marca,0.8,0.5333333333333333,1.0,0.8107695470087684,0.8,8,8,10,0,0.21824276600000303
44,search log,interesse recíproco,0.2,0.2,0.1111111111111111,0.0887427444143247,0.2,2,2,9,1,0.23789797799963708
45,search log,pesquisa de preços,0.2,0.14285714285714285,1.0,0.3589542101716347,0.2,2,2,5,5,0.21350125100070727
46,search log,planilha de custos e formação de preços,0.2,0.14285714285714285,0.25,0.17449604410523903,0.2,2,2,8,2,0.2125037699997847
47,search log,publicidade e propaganda,0.3,0.2727272727272727,0.5,0.439041046003353,0.3,3,3,8,2,0.20874093400016136
48,search log,processo seletivo e sistema s,0.5,0.4166666666666667,1.0,0.5989230265309271,0.5,5,5,9,1,0.2317555520003225
49,search log,modalidade de licitação,0.1,0.06666666666666667,0.25,0.045844817859654774,0.1,1,1,8,2,0.20580486800008657
50,search log,antecipação de pagamento,0.5,0.45454545454545453,0.25,0.3939235523790205,0.5,5,5,7,3,0.18755665700064128
51,expression from LLM question,concessão remunerada de uso de bens públicos modalidade,0.4,0.36363636363636365,0.25,0.21742939140879686,0.4,4,4,8,2,0.2012050260000251
52,expression from LLM question,citação válida falecimento,0.2,0.15384615384615385,0.5,0.2336508082431053,0.2,2,2,8,2,0.20986815200012643
53,expression from LLM question,garantia contratual patrimônio líquido mínimo,0.5,0.4166666666666667,0.5,0.42053674933363544,0.5,5,5,9,1,0.1984216849996301
54,expression from LLM question,garantia de participação patrimônio líquido mínimo,0.4,0.4,0.5,0.30318614816249356,0.4,4,4,8,2,0.19411485199998424
55,expression from LLM question,despesas sem cobertura contratual multa,0.1,0.09090909090909091,0.5,0.09304249271162664,0.1,1,1,9,1,0.2021502240004338
56,expression from LLM question,uso de áreas comerciais em aeroportos pregão,0.7,0.6363636363636364,0.5,0.6916885298857512,0.7,7,7,7,3,0.2098744919994715
57,expression from LLM question,cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios licitação,0.3,0.23076923076923078,1.0,0.627585410874082,0.3,3,3,9,1,0.22214141999938875
58,expression from LLM question,capacidade bens pertinentes e compatíveis com o objeto da licitação comprovação,0.0,0.0,0.0,0.0,0.0,0,0,8,2,0.21870346900050208
59,expression from LLM question,extrapolação dos limites para alterações consensuais qualitativas de contratos de obras e serviços,0.2,0.16666666666666666,0.2,0.1315155289360149,0.2,2,2,6,4,0.24046709399954125
60,expression from LLM question,responsabilidade do gestor sucessor omissão do antecessor,0.1,0.08333333333333333,0.2,0.09196849437208668,0.1,1,1,7,3,0.24924156900033267
61,expression from LLM question,projeto de parceria público-privada modalidade,0.3,0.23076923076923078,1.0,0.2771227553683631,0.3,3,3,9,1,0.21330216900059895
62,expression from LLM question,objeto do certame contrato social licitante,0.4,0.3333333333333333,1.0,0.1976191654536486,0.4,4,4,8,2,0.20338640699992538
63,expression from LLM question,responsabilidade gestão dos recursos Fundo Municipal de Saúde,0.5,0.3333333333333333,0.3333333333333333,0.4211782870687823,0.5,5,5,8,2,0.20768030599992926
64,expression from LLM question,pesquisa de mercado orçamento fornecedores,0.2,0.15384615384615385,0.5,0.22030749719702894,0.2,2,2,7,3,0.2317412760003208
