query_id,query,source,cobertura_qrel
1,técnica e preço,search log,0.2
2,restos a pagar,search log,0.2
3,aditivo a contrato,search log,0.1
4,adesão a ata de registro de preços,search log,0.3
5,sobrepreço e superfaturamento,search log,0.2
6,restrição a competitividade,search log,0.1
7,acréscimos e supressões,search log,0.4
8,obras e serviços de engenharia,search log,0.1
9,fiscalizacao de contratos,search log,0.1
10,diarias e passagens,search log,0.2
11,bens e serviços comuns,search log,0.0
12,parcelas de maior relevância e valor significativo,search log,0.1
13,despesa sem cobertura contratual,search log,0.1
14,decreto-lei 4.657/1942,search log,0.0
15,contas e materialidade,search log,0.1
16,inexequibilidade e comprovação,search log,0.2
17,impedimento de licitar e contratar,search log,0.0
18,aditivo e obra,search log,0.2
19,fraude a licitacao,search log,0.1
20,auditoria interna,search log,0.3
21,fracionamento de despesas,search log,0.0
22,novo e improrrogável prazo,search log,0.0
23,inidoneidade de licitante,search log,0.0
24,licitações e contratos,search log,0.0
25,exigência de atestado de capacidade,search log,0.0
26,contrato com a administração pública,search log,0.0
27,inexigibilidade e singularidade,search log,0.3
28,mera participação e epp,search log,0.2
29,decisão judicial,search log,0.0
30,fiscal de contrato,search log,0.0
31,medida cautelar,search log,0.2
32,é possível a aplicação concomitante,search log,0.0
33,reajuste de contrato,search log,0.3
34,publicidade e concurso público,search log,0.0
35,falecimento e multa,search log,0.3
36,independência das instâncias,search log,0.2
37,planejamento estratégico,search log,0.4
38,sistema s e licitação,search log,0.1
39,citação e validade,search log,0.2
40,multa a particulares,search log,0.1
41,licitação e preço de mercado,search log,0.0
42,edital modificação,search log,0.0
43,padronização marca,search log,0.8
44,interesse recíproco,search log,0.2
45,pesquisa de preços,search log,0.2
46,planilha de custos e formação de preços,search log,0.2
47,publicidade e propaganda,search log,0.3
48,processo seletivo e sistema s,search log,0.5
49,modalidade de licitação,search log,0.1
50,antecipação de pagamento,search log,0.3
51,concessão remunerada de uso de bens públicos modalidade,expression from LLM question,0.4
52,citação válida falecimento,expression from LLM question,0.2
53,garantia contratual patrimônio líquido mínimo,expression from LLM question,0.4
54,garantia de participação patrimônio líquido mínimo,expression from LLM question,0.4
55,despesas sem cobertura contratual multa,expression from LLM question,0.1
56,uso de áreas comerciais em aeroportos pregão,expression from LLM question,0.4
57,cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios licitação,expression from LLM question,0.2
58,capacidade bens pertinentes e compatíveis com o objeto da licitação comprovação,expression from LLM question,0.1
59,extrapolação dos limites para alterações consensuais qualitativas de contratos de obras e serviços,expression from LLM question,0.1
60,responsabilidade do gestor sucessor omissão do antecessor,expression from LLM question,0.0
61,projeto de parceria público-privada modalidade,expression from LLM question,0.3
62,objeto do certame contrato social licitante,expression from LLM question,0.3
63,responsabilidade gestão dos recursos Fundo Municipal de Saúde,expression from LLM question,0.4
64,pesquisa de mercado orçamento fornecedores,expression from LLM question,0.4
65,pesquisa de preços obrigatória em licitações,expression from LLM question,0.2
66,vantajosidade adesão à ata,expression from LLM question,0.1
67,compensação entre acréscimos e supressões contratos administrativos,expression from LLM question,0.3
68,vedado restabelecimento item suprimido,expression from LLM question,0.1
69,marca aquisição cartuchos,expression from LLM question,0.5
70,SUS recursos União competência do TCU,expression from LLM question,0.1
71,preços referenciais sistemas oficiais estimativa de custos,expression from LLM question,0.3
72,ponderação técnica e preço,expression from LLM question,0.8
73,pontuação desarrazoada licitações técnica e preço,expression from LLM question,0.3
74,prorrogação de contrato administrativo término prazo de vigência,expression from LLM question,0.4
75,atestado de capacidade técnica serviços advocatícios conselho de fiscalização profissional,expression from LLM question,0.3
76,reposição de importâncias indevidamente percebidas boa-fé servidores erro escusável por órgão/entidade,expression from LLM question,0.3
77,aquisição direta risco a saúde,expression from LLM question,0.0
78,pregão divulgação dos preços estimados no edital,expression from LLM question,0.6
79,instrutor treinamento inexigibilidade de licitação,expression from LLM question,0.4
80,reajuste de preços e repactuação,expression from LLM question,0.4
81,recomposição reajuste,expression from LLM question,0.2
82,retenção de pagamentos perda da regularidade fiscal,expression from LLM question,0.2
83,irregulares despesas desnecessárias e anteriores à celebração do contrato,expression from LLM question,0.0
84,vínculo trabalhista ou societário pré-existente competitividade das licitantes,expression from LLM question,0.2
85,técnica e preço profissionais quadro permanente,expression from LLM question,0.2
86,erro material desclassificação da proposta,expression from LLM question,0.1
87,vedação à inclusão documento habilitação diligência,expression from LLM question,0.1
88,exigência comprovação de quantitativos mínimos características semelhantes,expression from LLM question,0.2
89,extensão sanção de impedimento de licitar e contratar,expression from LLM question,0.4
90,habilitação técnico-operacional obras e serviços de engenharia,expression from LLM question,0.3
91,controle adesão,expression from LLM question,0.3
92,alvará de funcionamento habilitação jurídica,expression from LLM question,0.2
93,acumulação de cargo secretário municipal professor,expression from LLM question,0.3
