query_id,query,source,rank,doc_id,chunk_id,score_vetorial,qrel_score,julgado,relevante
1,técnica e preço,search log,3,20506,20506_0,0.8531661033630371,3.0,True,True
2,restos a pagar,search log,1,17289,17289_0,0.8557023406028748,2.0,True,True
3,aditivo a contrato,search log,1,17225,17225_0,0.8855953216552734,2.0,True,True
4,adesão a ata de registro de preços,search log,2,16981,16981_0,0.8887242674827576,3.0,True,True
5,sobrepreço e superfaturamento,search log,3,53003,53003_0,0.8617310523986816,3.0,True,True
6,restrição a competitividade,search log,3,17372,17372_0,0.8580521941184998,3.0,True,True
7,acréscimos e supressões,search log,4,32639,32639_0,0.8450503349304199,3.0,True,True
8,obras e serviços de engenharia,search log,9,135712,135712_0,0.8520326614379883,3.0,True,True
9,fiscalizacao de contratos,search log,10,19355,19355_0,0.8652693629264832,3.0,True,True
10,diarias e passagens,search log,1,32385,32385_0,0.8601399660110474,3.0,True,True
12,parcelas de maior relevância e valor significativo,search log,8,33077,33077_0,0.8480724096298218,3.0,True,True
13,despesa sem cobertura contratual,search log,1,18924,18924_1,0.860802412033081,3.0,True,True
15,contas e materialidade,search log,8,32737,32737_0,0.8465443849563599,3.0,True,True
16,inexequibilidade e comprovação,search log,4,19404,19404_0,0.8437830209732056,3.0,True,True
18,aditivo e obra,search log,2,81314,81314_5,0.8534474968910217,3.0,True,True
19,fraude a licitacao,search log,2,35186,35186_2,0.8742305040359497,3.0,True,True
20,auditoria interna,search log,1,50987,50987_0,0.8638814687728882,3.0,True,True
27,inexigibilidade e singularidade,search log,7,18818,18818_0,0.8471602201461792,3.0,True,True
28,mera participação e epp,search log,2,35284,35284_0,0.8322420120239258,2.0,True,True
31,medida cautelar,search log,2,102455,102455_4,0.8562475442886353,3.0,True,True
33,reajuste de contrato,search log,2,83622,83622_4,0.8568195700645447,3.0,True,True
35,falecimento e multa,search log,1,14815,14815_1,0.8498010635375977,3.0,True,True
36,independência das instâncias,search log,3,27935,27935_0,0.8498823642730713,3.0,True,True
37,planejamento estratégico,search log,1,28909,28909_2,0.8681168556213379,2.0,True,True
38,sistema s e licitação,search log,6,21063,21063_0,0.8602410554885864,3.0,True,True
39,citação e validade,search log,1,32813,32813_0,0.8582615852355957,3.0,True,True
40,multa a particulares,search log,8,34964,34964_0,0.8565475940704346,3.0,True,True
43,padronização marca,search log,1,21814,21814_2,0.8569169640541077,3.0,True,True
44,interesse recíproco,search log,2,15067,15067_2,0.8475368022918701,3.0,True,True
45,pesquisa de preços,search log,1,117370,117370_4,0.8738072514533997,3.0,True,True
46,planilha de custos e formação de preços,search log,3,29371,29371_0,0.864193320274353,3.0,True,True
47,publicidade e propaganda,search log,2,33815,33815_0,0.862697958946228,3.0,True,True
48,processo seletivo e sistema s,search log,1,19600,19600_0,0.8719363212585449,3.0,True,True
49,modalidade de licitação,search log,1,18852,18852_0,0.8842591643333435,2.0,True,True
50,antecipação de pagamento,search log,2,71048,71048_0,0.8648214340209961,3.0,True,True
51,concessão remunerada de uso de bens públicos modalidade,expression from LLM question,5,14270,14270_0,0.8723419904708862,2.0,True,True
52,citação válida falecimento,expression from LLM question,1,139391,139391_0,0.8541027903556824,3.0,True,True
53,garantia contratual patrimônio líquido mínimo,expression from LLM question,2,48357,48357_0,0.8739719390869141,3.0,True,True
54,garantia de participação patrimônio líquido mínimo,expression from LLM question,3,26373,26373_0,0.8724949359893799,2.0,True,True
55,despesas sem cobertura contratual multa,expression from LLM question,1,18924,18924_1,0.8794867396354675,2.0,True,True
56,uso de áreas comerciais em aeroportos pregão,expression from LLM question,1,18865,18865_0,0.8678961992263794,3.0,True,True
57,cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios licitação,expression from LLM question,1,5714,5714_0,0.8721418380737305,3.0,True,True
58,capacidade bens pertinentes e compatíveis com o objeto da licitação comprovação,expression from LLM question,2,17967,17967_0,0.8672961592674255,2.0,True,True
59,extrapolação dos limites para alterações consensuais qualitativas de contratos de obras e serviços,expression from LLM question,3,17090,17090_0,0.85964035987854,3.0,True,True
61,projeto de parceria público-privada modalidade,expression from LLM question,1,17128,17128_2,0.8551232218742371,2.0,True,True
62,objeto do certame contrato social licitante,expression from LLM question,1,34226,34226_0,0.8772724270820618,1.0,True,True
63,responsabilidade gestão dos recursos Fundo Municipal de Saúde,expression from LLM question,1,17184,17184_0,0.8821326494216919,3.0,True,True
64,pesquisa de mercado orçamento fornecedores,expression from LLM question,1,31629,31629_0,0.8653947114944458,3.0,True,True
65,pesquisa de preços obrigatória em licitações,expression from LLM question,1,21864,21864_0,0.8865658044815063,3.0,True,True
66,vantajosidade adesão à ata,expression from LLM question,2,62306,62306_0,0.8498302698135376,3.0,True,True
67,compensação entre acréscimos e supressões contratos administrativos,expression from LLM question,3,10089,10089_0,0.8759188652038574,3.0,True,True
68,vedado restabelecimento item suprimido,expression from LLM question,1,104455,104455_0,0.850403904914856,3.0,True,True
69,marca aquisição cartuchos,expression from LLM question,1,13633,13633_0,0.8380951881408691,3.0,True,True
70,SUS recursos União competência do TCU,expression from LLM question,3,25573,25573_0,0.8868904113769531,3.0,True,True
71,preços referenciais sistemas oficiais estimativa de custos,expression from LLM question,1,22170,22170_0,0.8724386692047119,2.0,True,True
72,ponderação técnica e preço,expression from LLM question,1,15740,15740_0,0.8813186883926392,3.0,True,True
73,pontuação desarrazoada licitações técnica e preço,expression from LLM question,1,20506,20506_0,0.8776279091835022,3.0,True,True
74,prorrogação de contrato administrativo término prazo de vigência,expression from LLM question,2,18409,18409_0,0.8949735760688782,3.0,True,True
75,atestado de capacidade técnica serviços advocatícios conselho de fiscalização profissional,expression from LLM question,1,105994,105994_0,0.8844457864761353,3.0,True,True
76,reposição de importâncias indevidamente percebidas boa-fé servidores erro escusável por órgão/entidade,expression from LLM question,2,32035,32035_0,0.8713123798370361,3.0,True,True
78,pregão divulgação dos preços estimados no edital,expression from LLM question,1,14555,14555_0,0.8825674057006836,3.0,True,True
79,instrutor treinamento inexigibilidade de licitação,expression from LLM question,1,32925,32925_0,0.8816721439361572,2.0,True,True
80,reajuste de preços e repactuação,expression from LLM question,2,17262,17262_1,0.8661227226257324,3.0,True,True
