query_id,p_at_10_rag,r_at_10_rag,mrr_at_10_rag,ndcg_at_10_rag,p_at_10_graphrag,r_at_10_graphrag,mrr_at_10_graphrag,ndcg_at_10_graphrag,source,pergunta,delta_p_at_10,vencedor_p_at_10,delta_r_at_10,vencedor_r_at_10,delta_mrr_at_10,vencedor_mrr_at_10,delta_ndcg_at_10,vencedor_ndcg_at_10
1,0.2,0.1333333333333333,0.3333333333333333,0.1794771050858173,0.2,0.1333333333333333,1.0,0.2934556883974402,search log,técnica e preço,0.0,Empate,0.0,Empate,0.6666666666666667,GraphRAG,0.11397858331162289,GraphRAG
2,0.2,0.2857142857142857,1.0,0.2141465328871384,0.3,0.4285714285714285,0.5,0.2931973319593919,search log,restos a pagar,0.09999999999999998,GraphRAG,0.1428571428571428,GraphRAG,-0.5,RAG,0.07905079907225351,GraphRAG
3,0.1,0.0666666666666666,1.0,0.1064483705933263,0.2,0.1333333333333333,1.0,0.1782461566938843,search log,aditivo a contrato,0.1,GraphRAG,0.06666666666666671,GraphRAG,0.0,Empate,0.071797786100558,GraphRAG
4,0.3,0.2307692307692307,0.5,0.3183395489593718,0.4,0.3076923076923077,1.0,0.4412851793128928,search log,adesão a ata de registro de preços,0.10000000000000003,GraphRAG,0.07692307692307701,GraphRAG,0.5,GraphRAG,0.12294563035352102,GraphRAG
5,0.2,0.1538461538461538,0.3333333333333333,0.1763001066034291,0.2,0.1538461538461538,1.0,0.3148801306676309,search log,sobrepreço e superfaturamento,0.0,Empate,0.0,Empate,0.6666666666666667,GraphRAG,0.13858002406420178,GraphRAG
6,0.1,0.0714285714285714,0.3333333333333333,0.11004588314904,0.1,0.0714285714285714,0.5,0.1388624438735545,search log,restrição a competitividade,0.0,Empate,0.0,Empate,0.16666666666666669,GraphRAG,0.02881656072451451,GraphRAG
7,0.4,0.3636363636363636,0.25,0.3195496275649209,0.2,0.1818181818181818,0.2,0.1545743395783982,search log,acréscimos e supressões,-0.2,RAG,-0.1818181818181818,RAG,-0.04999999999999999,RAG,-0.1649752879865227,RAG
8,0.1,0.0769230769230769,0.1111111111111111,0.0715653988915403,0.1,0.0769230769230769,0.1428571428571428,0.0792450363998762,search log,obras e serviços de engenharia,0.0,Empate,0.0,Empate,0.03174603174603169,GraphRAG,0.007679637508335904,GraphRAG
9,0.1,0.0714285714285714,0.1,0.0687208580504547,0.0,0.0,0.0,0.0,search log,fiscalizacao de contratos,-0.1,RAG,-0.0714285714285714,RAG,-0.1,RAG,-0.0687208580504547,RAG
10,0.2,0.2,1.0,0.3425925097329886,0.3,0.3,1.0,0.4412499594624562,search log,diarias e passagens,0.09999999999999998,GraphRAG,0.09999999999999998,GraphRAG,0.0,Empate,0.0986574497294676,GraphRAG
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,bens e serviços comuns,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
12,0.1,0.0714285714285714,0.125,0.0749970769313026,0.1,0.0714285714285714,0.1428571428571428,0.0792450363998762,search log,parcelas de maior relevância e valor significativo,0.0,Empate,0.0,Empate,0.017857142857142794,GraphRAG,0.004247959468573606,GraphRAG
13,0.1,0.0714285714285714,1.0,0.2200917662980801,0.1,0.0714285714285714,0.3333333333333333,0.11004588314904,search log,despesa sem cobertura contratual,0.0,Empate,0.0,Empate,-0.6666666666666667,RAG,-0.11004588314904011,RAG
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,decreto-lei 4.657/1942,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
15,0.1,0.0833333333333333,0.125,0.0924841725303157,0.2,0.1666666666666666,0.2,0.149731903846908,search log,contas e materialidade,0.1,GraphRAG,0.0833333333333333,GraphRAG,0.07500000000000001,GraphRAG,0.05724773131659229,GraphRAG
16,0.2,0.1666666666666666,0.25,0.1496662670577146,0.2,0.1666666666666666,0.5,0.2135906992046649,search log,inexequibilidade e comprovação,0.0,Empate,0.0,Empate,0.25,GraphRAG,0.06392443214695029,GraphRAG
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,impedimento de licitar e contratar,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
18,0.2,0.1538461538461538,0.5,0.3112288831828396,0.1,0.0769230769230769,1.0,0.2931678907415521,search log,aditivo e obra,-0.1,RAG,-0.0769230769230769,RAG,0.5,GraphRAG,-0.018060992441287504,RAG
19,0.1,0.0833333333333333,0.5,0.1388624438735545,0.2,0.1666666666666666,0.3333333333333333,0.1884441521277154,search log,fraude a licitacao,0.1,GraphRAG,0.0833333333333333,GraphRAG,-0.16666666666666669,RAG,0.04958170825416089,GraphRAG
20,0.3,0.2307692307692307,1.0,0.6810996824258109,0.3,0.2307692307692307,1.0,0.6534834840914021,search log,auditoria interna,0.0,Empate,0.0,Empate,0.0,Empate,-0.02761619833440876,RAG
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,fracionamento de despesas,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,novo e improrrogável prazo,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,inidoneidade de licitante,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,licitações e contratos,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
25,0.0,0.0,0.0,0.0,0.1,0.0714285714285714,0.1428571428571428,0.07336392209936,search log,exigência de atestado de capacidade,0.1,GraphRAG,0.0714285714285714,GraphRAG,0.1428571428571428,GraphRAG,0.07336392209936,GraphRAG
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search log,contrato com a administração pública,0.0,Empate,0.0,Empate,0.0,Empate,0.0,Empate
27,0.3,0.2727272727272727,0.1428571428571428,0.2090493674905263,0.6,0.5454545454545454,1.0,0.5925846332364243,search log,inexigibilidade e singularidade,0.3,GraphRAG,0.2727272727272727,GraphRAG,0.8571428571428572,GraphRAG,0.383535265745898,GraphRAG
