query_id,source,pergunta,p_at_10,r_at_10,mrr_at_10,ndcg_at_10,judged_at_10,julgados_top10,relevantes_top10,num_relevantes_qrel,latencia_fusao_segundos
1,search log,técnica e preço,0.2,0.13333333333333333,1.0,0.29345568839744024,0.2,2,2,15,0.007193210999957955
2,search log,restos a pagar,0.2,0.2857142857142857,1.0,0.2215006605461223,0.2,2,2,7,0.004848788999879616
3,search log,aditivo a contrato,0.1,0.06666666666666667,1.0,0.10644837059332632,0.1,1,1,15,0.007628164999914588
4,search log,adesão a ata de registro de preços,0.4,0.3076923076923077,1.0,0.4518648409659427,0.4,4,4,13,0.013715238000258978
5,search log,sobrepreço e superfaturamento,0.2,0.15384615384615385,1.0,0.29345568839744024,0.2,2,2,13,0.011945345999720303
6,search log,restrição a competitividade,0.1,0.07142857142857142,1.0,0.22009176629808017,0.1,1,1,14,0.008040006999635807
7,search log,acréscimos e supressões,0.3,0.2727272727272727,0.25,0.2344065099232999,0.3,3,3,11,0.006233177000012802
8,search log,obras e serviços de engenharia,0.1,0.07692307692307693,0.125,0.07499707693130266,0.1,1,1,13,0.0050418920000083745
9,search log,fiscalizacao de contratos,0.1,0.07142857142857142,0.1,0.06872085805045479,0.1,1,1,14,0.004086890000053245
10,search log,diarias e passagens,0.2,0.2,1.0,0.37249621164950025,0.2,2,2,10,0.003498691000004328
11,search log,bens e serviços comuns,0.0,0.0,0.0,0.0,0.0,0,0,14,0.003474206999726448
12,search log,parcelas de maior relevância e valor significativo,0.1,0.07142857142857142,0.1111111111111111,0.07156539889154033,0.1,1,1,14,0.0035170199998901808
13,search log,despesa sem cobertura contratual,0.1,0.07142857142857142,0.5,0.13886244387355454,0.1,1,1,14,0.0037681370004065684
14,search log,decreto-lei 4.657/1942,0.0,0.0,0.0,0.0,0.0,0,0,10,0.003993810999872949
15,search log,contas e materialidade,0.1,0.08333333333333333,0.14285714285714285,0.09772263024718404,0.1,1,1,12,0.0058640490001380385
16,search log,inexequibilidade e comprovação,0.2,0.16666666666666666,0.3333333333333333,0.1722215626933405,0.2,2,2,12,0.004647179999665241
17,search log,impedimento de licitar e contratar,0.0,0.0,0.0,0.0,0.0,0,0,12,0.004578480999953172
18,search log,aditivo e obra,0.2,0.15384615384615385,0.5,0.2774525175909472,0.2,2,2,13,0.003616445000261592
19,search log,fraude a licitacao,0.2,0.16666666666666666,1.0,0.28371255449703187,0.2,2,2,12,0.0035110190001432784
20,search log,auditoria interna,0.3,0.23076923076923078,1.0,0.6810996824258109,0.3,3,3,13,0.003283745999851817
21,search log,fracionamento de despesas,0.0,0.0,0.0,0.0,0.0,0,0,11,0.003333750999900076
22,search log,novo e improrrogável prazo,0.0,0.0,0.0,0.0,0.0,0,0,12,0.0037264170000526065
23,search log,inidoneidade de licitante,0.0,0.0,0.0,0.0,0.0,0,0,12,0.0039924590000737226
24,search log,licitações e contratos,0.0,0.0,0.0,0.0,0.0,0,0,15,0.006547183999828121
25,search log,exigência de atestado de capacidade,0.0,0.0,0.0,0.0,0.0,0,0,14,0.006412890999854426
26,search log,contrato com a administração pública,0.0,0.0,0.0,0.0,0.0,0,0,15,0.006874671000332455
27,search log,inexigibilidade e singularidade,0.4,0.36363636363636365,0.3333333333333333,0.3321737110889728,0.4,4,4,11,0.004033618999983446
28,search log,mera participação e epp,0.3,0.2727272727272727,0.5,0.3338634830553852,0.3,3,3,11,0.0034299439998903836
29,search log,decisão judicial,0.0,0.0,0.0,0.0,0.0,0,0,15,0.003408648999993602
30,search log,fiscal de contrato,0.0,0.0,0.0,0.0,0.0,0,0,13,0.003352510000240727
31,search log,medida cautelar,0.2,0.15384615384615385,0.3333333333333333,0.22027608466787998,0.2,2,2,13,0.0036036659998899268
32,search log,é possível a aplicação concomitante,0.0,0.0,0.0,0.0,0.0,0,0,13,0.0037130349996914447
33,search log,reajuste de contrato,0.3,0.25,1.0,0.48669371489382984,0.3,3,3,12,0.005126382000071317
34,search log,publicidade e concurso público,0.0,0.0,0.0,0.0,0.0,0,0,11,0.00796779400025116
35,search log,falecimento e multa,0.3,0.2727272727272727,1.0,0.3628869103342175,0.3,3,3,11,0.007138451999708195
36,search log,independência das instâncias,0.3,0.3,1.0,0.3927803446468622,0.3,3,3,10,0.0036471540001912217
37,search log,planejamento estratégico,0.4,0.26666666666666666,1.0,0.5492849377476405,0.4,4,4,15,0.003387853999811341
38,search log,sistema s e licitação,0.1,0.06666666666666667,0.16666666666666666,0.10442850971144024,0.1,1,1,15,0.0034801869996954338
